Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
FAST,FREAK,8,5176,275,3.500,12.250,3.711,90.964,MAT_BF,SEL_NN,4587,29.307,1288.277,117.295,-9.141
FAST,FREAK,9,5225,268,3.500,12.250,3.234,91.548,MAT_BF,SEL_NN,4613,29.687,1287.035,118.260,inf

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
FAST,SIFT,0,5275,0,0.000,0.000,3.194,118.124,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
FAST,SIFT,1,5291,257,3.500,12.250,3.000,113.124,MAT_BF,SEL_NN,5275,52.686,5039.540,290.514,12.313
FAST,SIFT,2,5202,277,3.500,12.250,3.721,128.228,MAT_BF,SEL_NN,5291,53.835,5597.650,292.915,12.271
FAST,SIFT,3,5090,298,3.500,12.250,3.528,118.443,MAT_BF,SEL_NN,5202,53.538,5431.860,286.426,16.311
FAST,SIFT,4,5118,263,3.500,12.250,3.884,124.671,MAT_BF,SEL_NN,5090,52.724,5198.307,327.750,14.301
FAST,SIFT,5,5180,260,3.500,12.250,3.278,102.756,MAT_BF,SEL_NN,5118,51.164,4907.608,286.820,16.889
FAST,SIFT,6,5192,248,3.500,12.250,3.511,117.441,MAT_BF,SEL_NN,5180,52.248,4990.882,269.399,13.335
FAST,SIFT,7,5177,300,3.500,12.250,3.494,103.182,MAT_BF,SEL_NN,5192,55.233,5706.764,269.089,13.806
FAST,SIFT,8,5176,273,3.500,12.250,3.537,108.806,MAT_BF,SEL_NN,5177,54.245,5570.467,271.722,14.358
FAST,SIFT,9,5225,259,3.500,12.250,3.459,115.879,MAT_BF,SEL_NN,5176,54.104,5460.041,275.749,12.516

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
BRISK,BRISK,0,2896,0,0.000,0.000,39.703,22.625,MAT_BF,SEL_NN,0,0.000,0.000,0.000,0.000
BRISK,BRISK,1,3000,161,10.574,192.109,37.850,24.493,MAT_BF,SEL_NN,2896,36.005,2050.757,34.928,31.941
BRISK,BRISK,2,2974,204,11.250,223.590,47.057,27.729,MAT_BF,SEL_NN,3000,36.218,2044.539,39.739,75.660
BRISK,BRISK,3,2953,238,11.613,258.500,36.717,24.018,MAT_BF,SEL_NN,2974,36.115,2074.492,34.196,19.005
BRISK,BRISK,4,2855,208,10.439,184.271,35.564,23.358,MAT_BF,SEL_NN,2953,37.124,2119.810,33.280,32.215
BRISK,BRISK,5,2906,170,11.002,229.833,39.634,23.520,MAT_BF,SEL_NN,2855,35.917,2053.672,32.304,76.491
BRISK,BRISK,6,2886,189,11.446,218.880,37.152,22.389,MAT_BF,SEL_NN,2906,36.289,2047.393,32.011,83.908
BRISK,BRISK,7,2886,197,11.002,204.542,39.455,23.585,MAT_BF,SEL_NN,2886,36.970,2109.322,33.021,33.295
BRISK,BRISK,8,2893,189,11.190,209.853,38.850,22.986,MAT_BF,SEL_NN,2886,36.585,2095.507,31.132,28.359
BRISK,BRISK,9,2930,205,11.055,210.747,39.562,23.228,MAT_BF,SEL_NN,2893,37.004,2106.809,31.810,20.455

Detector Type,Descriptor Type,Frame#,#KeyPointsPerFrame,#KeyPointsPerROI,NeighborhoodSizeMean,NeighborhoodSizeVariance,DetectorTime(ms),DescriptorTime(ms),Matcher Type,Selector Type,#MatchedPoints,MatchDistancesMean,MatchDistancesVariance,MatchingTime(ms)),TTC(s))
